Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/05/08
Anzola d'Ossola;103002;-1;0;0;2020/05/08
Arizzano;103003;-1;6;2.9800000190734863;2020/05/08
Arola;103004;-1;0;0;2020/05/08
Aurano;103005;-1;1;9.710000038146973;2020/05/08
Baceno;103006;-1;0;0;2020/05/08
Bannio Anzino;103007;-1;0;0;2020/05/08
Baveno;103008;-1;6;1.2200000286102295;2020/05/08
Bee;103009;-1;1;1.3200000524520874;2020/05/08
Belgirate;103010;-1;16;31.809999465942383;2020/05/08
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/05/08
Bognanco;103012;-1;0;0;2020/05/08
Brovello-Carpugnino;103013;-1;0;0;2020/05/08
Calasca-Castiglione;103014;-1;2;3.2699999809265137;2020/05/08
Cambiasca;103015;-1;5;3.0799999237060547;2020/05/08
Cannero Riviera;103016;-1;0;0;2020/05/08
Cannobio;103017;-1;10;1.9500000476837158;2020/05/08
Caprezzo;103018;-1;0;0;2020/05/08
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/05/08
Ceppo Morelli;103021;-1;0;0;2020/05/08
Cesara;103022;-1;0;0;2020/05/08
Cossogno;103023;-1;6;8.84000015258789;2020/05/08
Craveggia;103024;-1;3;3.940000057220459;2020/05/08
Crevoladossola;103025;-1;3;0.6499999761581421;2020/05/08
Crodo;103026;-1;0;0;2020/05/08
Domodossola;103028;-1;23;1.2699999809265137;2020/05/08
Druogno;103029;-1;1;0.9399999976158142;2020/05/08
Formazza;103031;-1;0;0;2020/05/08
Germagno;103032;-1;0;0;2020/05/08
Ghiffa;103033;-1;25;10.619999885559082;2020/05/08
Gignese;103034;-1;1;0.949999988079071;2020/05/08
Gravellona Toce;103035;-1;30;3.8399999141693115;2020/05/08
Gurro;103036;-1;0;0;2020/05/08
Intragna;103037;-1;0;0;2020/05/08
Loreglia;103038;-1;0;0;2020/05/08
Macugnaga;103039;-1;1;1.850000023841858;2020/05/08
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/05/08
Malesco;103041;-1;0;0;2020/05/08
Masera;103042;-1;1;0.6800000071525574;2020/05/08
Massiola;103043;-1;0;0;2020/05/08
Mergozzo;103044;-1;2;0.9200000166893005;2020/05/08
Miazzina;103045;-1;4;10.470000267028809;2020/05/08
Montecrestese;103046;-1;4;3.140000104904175;2020/05/08
Montescheno;103047;-1;1;2.549999952316284;2020/05/08
Nonio;103048;-1;2;2.319999933242798;2020/05/08
Oggebbio;103049;-1;2;2.2899999618530273;2020/05/08
Omegna;103050;-1;104;6.849999904632568;2020/05/08
Ornavasso;103051;-1;8;2.3299999237060547;2020/05/08
Pallanzeno;103052;-1;1;0.8700000047683716;2020/05/08
Piedimulera;103053;-1;2;1.309999942779541;2020/05/08
Pieve Vergonte;103054;-1;1;0.4000000059604645;2020/05/08
Premeno;103055;-1;8;10.960000038146973;2020/05/08
Premia;103056;-1;2;3.619999885559082;2020/05/08
Premosello-Chiovenda;103057;-1;47;24.209999084472656;2020/05/08
Quarna Sopra;103058;-1;0;0;2020/05/08
Quarna Sotto;103059;-1;2;5.190000057220459;2020/05/08
Re;103060;-1;0;0;2020/05/08
San Bernardino Verbano;103061;-1;1;0.7599999904632568;2020/05/08
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/05/08
Stresa;103064;-1;10;2.049999952316284;2020/05/08
Toceno;103065;-1;2;2.740000009536743;2020/05/08
Trarego Viggiona;103066;-1;0;0;2020/05/08
Trasquera;103067;-1;0;0;2020/05/08
Trontano;103068;-1;0;0;2020/05/08
Valstrona;103069;-1;1;0.8199999928474426;2020/05/08
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2020/05/08
Varzo;103071;-1;2;0.9900000095367432;2020/05/08
Verbania;103072;-1;165;5.409999847412109;2020/05/08
Vignone;103074;-1;5;4.179999828338623;2020/05/08
Villadossola;103075;-1;11;1.690000057220459;2020/05/08
Villette;103076;-1;0;0;2020/05/08
Vogogna;103077;-1;26;14.8100004196167;2020/05/08
Borgomezzavalle;103078;-1;0;0;2020/05/08
Valle Cannobina;103079;-1;2;4.119999885559082;2020/05/08
Agliè;001001;-1;4;1.5199999809265137;2020/05/08
Airasca;001002;-1;7;1.899999976158142;2020/05/08
Ala di Stura;001003;-1;1;2.2100000381469727;2020/05/08
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/05/08
Almese;001006;-1;13;2.0399999618530273;2020/05/08
Alpette;001007;-1;0;0;2020/05/08
Alpignano;001008;-1;180;10.989999771118164;2020/05/08
Andezeno;001009;-1;3;1.4900000095367432;2020/05/08
Andrate;001010;-1;1;2;2020/05/08
Angrogna;001011;-1;2;2.319999933242798;2020/05/08
Arignano;001012;-1;4;3.7200000286102295;2020/05/08
