Ente;Tipo;Provincia;ASL;Codice ISTAT;Abitanti;Positivi;Positivi 1000 abitanti;Delta positivi;Delta positivi 1000 abitanti;Data
AL;ASL;ASL;AL;A213;432818;963;2.22;0;0.0;2020/03/25
AL;ASL;ASL;AL;A213;432818;998;2.31;35;0.09;2020/03/26
AL;ASL;ASL;AL;A213;432818;1126;2.6;128;0.29;2020/03/27
AL;ASL;ASL;AL;A213;432818;1221;2.82;95;0.22;2020/03/28
AL;ASL;ASL;AL;A213;432818;1279;2.96;58;0.14;2020/03/29
AL;ASL;ASL;AL;A213;432818;1306;3.02;27;0.06;2020/03/30
AL;ASL;ASL;AL;A213;432818;1346;3.11;40;0.09;2020/03/31
AL;ASL;ASL;AL;A213;432818;1407;3.25;61;0.14;2020/04/01
AL;ASL;ASL;AL;A213;432818;1460;3.37;53;0.12;2020/04/02
AL;ASL;ASL;AL;A213;432818;1510;3.49;50;0.12;2020/04/03
AL;ASL;ASL;AL;A213;432818;1610;3.72;100;0.23;2020/04/04
AL;ASL;ASL;AL;A213;432818;4213;9.73;2603;6.01;2020/04/05
AL;ASL;ASL;AL;A213;432818;1897;4.38;-2316;-5.35;2020/04/06
AL;ASL;ASL;AL;A213;432818;1936;4.47;39;0.09;2020/04/07
AL;ASL;ASL;AL;A213;432818;2000;4.62;64;0.15;2020/04/08
AL;ASL;ASL;AL;A213;432818;2066;4.77;66;0.15;2020/04/09
AL;ASL;ASL;AL;A213;432818;1873;4.33;-193;-0.44;2020/04/12
AL;ASL;ASL;AL;A213;432818;1913;4.42;40;0.09;2020/04/13
AL;ASL;ASL;AL;A213;432818;1996;4.61;83;0.19;2020/04/14
AL;ASL;ASL;AL;A213;432818;2017;4.66;21;0.05;2020/04/15
AL;ASL;ASL;AL;A213;432818;2097;4.84;80;0.18;2020/04/16
AL;ASL;ASL;AL;A213;432818;2159;4.99;62;0.15;2020/04/17
AL;ASL;ASL;AL;A213;432818;2221;5.13;62;0.14;2020/04/18
AL;ASL;ASL;AL;A213;432818;2208;5.1;-13;-0.03;2020/04/19
AL;ASL;ASL;AL;A213;432818;2167;5.01;-41;-0.09;2020/04/20
AL;ASL;ASL;AL;A213;432818;2222;5.13;55;0.12;2020/04/21
AL;ASL;ASL;AL;A213;432818;2284;5.28;62;0.15;2020/04/22
AL;ASL;ASL;AL;A213;432818;2222;5.13;-62;-0.15;2020/04/23
AL;ASL;ASL;AL;A213;432818;2251;5.2;29;0.07;2020/04/24
AL;ASL;ASL;AL;A213;432818;2300;5.31;49;0.11;2020/04/25
AL;ASL;ASL;AL;A213;432818;2196;5.07;-104;-0.24;2020/04/26
AL;ASL;ASL;AL;A213;432818;2243;5.18;47;0.11;2020/04/27
AL;ASL;ASL;AL;A213;432818;2299;5.31;56;0.13;2020/04/28
AL;ASL;ASL;AL;A213;432818;2411;5.57;112;0.26;2020/05/05
AL;ASL;ASL;AL;A213;432818;2370;5.48;-41;-0.09;2020/05/06
AL;ASL;ASL;AL;A213;432818;2379;5.5;9;0.02;2020/05/07
AL;ASL;ASL;AL;A213;432818;2394;5.53;15;0.03;2020/05/08
AL;ASL;ASL;AL;A213;432818;2321;5.36;-73;-0.17;2020/05/09
AL;ASL;ASL;AL;A213;432818;2299;5.31;-22;-0.05;2020/05/10
AL;ASL;ASL;AL;A213;432818;2270;5.24;-29;-0.07;2020/05/11
AL;ASL;ASL;AL;A213;432818;2263;5.23;-7;-0.01;2020/05/12
AL;ASL;ASL;AL;A213;432818;2193;5.07;-70;-0.16;2020/05/13
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1137;1.3;0;0.0;2020/03/25
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1246;1.42;109;0.12;2020/03/26
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1332;1.52;86;0.1;2020/03/27
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1457;1.66;125;0.14;2020/03/28
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1529;1.75;72;0.09;2020/03/29
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1608;1.84;79;0.09;2020/03/30
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1721;1.97;113;0.13;2020/03/31
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1839;2.1;118;0.13;2020/04/01
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1954;2.23;115;0.13;2020/04/02
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2085;2.38;131;0.15;2020/04/03
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2276;2.6;191;0.22;2020/04/04
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;5810;6.63;3534;4.03;2020/04/05
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2425;2.77;-3385;-3.86;2020/04/06
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2485;2.84;60;0.07;2020/04/07
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2579;2.95;94;0.11;2020/04/08
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2700;3.08;121;0.13;2020/04/09
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2484;2.84;-216;-0.24;2020/04/12
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2517;2.87;33;0.03;2020/04/13
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2550;2.91;33;0.04;2020/04/14
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2528;2.89;-22;-0.02;2020/04/15
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2715;3.1;187;0.21;2020/04/16
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2719;3.1;4;0.0;2020/04/17
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2829;3.23;110;0.13;2020/04/18
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2838;3.24;9;0.01;2020/04/19
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2855;3.26;17;0.02;2020/04/20
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2908;3.32;53;0.06;2020/04/21
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2978;3.4;70;0.08;2020/04/22
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3003;3.43;25;0.03;2020/04/23
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3046;3.48;43;0.05;2020/04/24
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3083;3.52;37;0.04;2020/04/25
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3149;3.6;66;0.08;2020/04/26
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3157;3.61;8;0.01;2020/04/27
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3261;3.72;104;0.11;2020/04/28
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3411;3.9;150;0.18;2020/05/05
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3383;3.86;-28;-0.04;2020/05/06
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3323;3.79;-60;-0.07;2020/05/07
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3258;3.72;-65;-0.07;2020/05/08
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3224;3.68;-34;-0.04;2020/05/09
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3137;3.58;-87;-0.1;2020/05/10
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3022;3.45;-115;-0.13;2020/05/11
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3018;3.45;-4;0.0;2020/05/12
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2957;3.38;-61;-0.07;2020/05/13
AT;ASL;ASL;AT;A212;202819;251;1.24;0;0.0;2020/03/25
AT;ASL;ASL;AT;A212;202819;272;1.34;21;0.1;2020/03/26
AT;ASL;ASL;AT;A212;202819;292;1.44;20;0.1;2020/03/27
AT;ASL;ASL;AT;A212;202819;304;1.5;12;0.06;2020/03/28
AT;ASL;ASL;AT;A212;202819;313;1.54;9;0.04;2020/03/29
AT;ASL;ASL;AT;A212;202819;385;1.9;72;0.36;2020/03/30
AT;ASL;ASL;AT;A212;202819;413;2.04;28;0.14;2020/03/31
AT;ASL;ASL;AT;A212;202819;439;2.16;26;0.12;2020/04/01
