Ente;Tipo;Provincia;Positivi;Positivi 1000 abitanti;Abitanti;Data;Codice ISTAT;ASL;Delta
Acceglio;COM;CN;0;0.0;158;2020/03/25;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/03/26;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/03/27;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/03/28;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/03/29;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/03/30;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/03/31;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/01;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/02;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/03;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/04;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/05;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/05;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/06;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/07;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/08;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/09;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/12;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/13;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/14;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/15;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/16;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/17;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/18;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/19;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/20;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/21;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/22;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/23;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/24;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/25;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/26;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/27;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/28;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/29;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/04/30;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/01;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/02;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/03;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/05;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/06;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/07;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/08;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/09;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/10;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/11;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/12;004001;CN1;0.0
Acceglio;COM;CN;0;0.0;158;2020/05/13;004001;CN1;0.0
Acqui Terme;COM;AL;25;1.28;19604;2020/03/25;006001;AL;0.0
Acqui Terme;COM;AL;25;1.28;19604;2020/03/26;006001;AL;0.0
Acqui Terme;COM;AL;32;1.63;19604;2020/03/27;006001;AL;0.35
Acqui Terme;COM;AL;34;1.73;19604;2020/03/28;006001;AL;0.1
Acqui Terme;COM;AL;34;1.73;19604;2020/03/29;006001;AL;0.0
Acqui Terme;COM;AL;34;1.73;19604;2020/03/30;006001;AL;0.0
Acqui Terme;COM;AL;35;1.79;19604;2020/03/31;006001;AL;0.06
Acqui Terme;COM;AL;37;1.89;19604;2020/04/01;006001;AL;0.1
Acqui Terme;COM;AL;39;1.99;19604;2020/04/02;006001;AL;0.1
Acqui Terme;COM;AL;38;1.94;19604;2020/04/03;006001;AL;-0.05
Acqui Terme;COM;AL;39;1.99;19604;2020/04/04;006001;AL;0.05
Acqui Terme;COM;AL;52;2.65;19604;2020/04/05;006001;AL;0.66
Acqui Terme;COM;AL;121;6.17;19604;2020/04/05;006001;AL;3.52
Acqui Terme;COM;AL;61;3.11;19604;2020/04/06;006001;AL;-3.06
Acqui Terme;COM;AL;64;3.26;19604;2020/04/07;006001;AL;0.15
Acqui Terme;COM;AL;66;3.37;19604;2020/04/08;006001;AL;0.11
Acqui Terme;COM;AL;68;3.47;19604;2020/04/09;006001;AL;0.1
Acqui Terme;COM;AL;71;3.62;19604;2020/04/12;006001;AL;0.15
Acqui Terme;COM;AL;71;3.62;19604;2020/04/13;006001;AL;0.0
Acqui Terme;COM;AL;74;3.77;19604;2020/04/14;006001;AL;0.15
Acqui Terme;COM;AL;89;4.54;19604;2020/04/15;006001;AL;0.77
Acqui Terme;COM;AL;115;5.87;19604;2020/04/16;006001;AL;1.33
Acqui Terme;COM;AL;115;5.87;19604;2020/04/17;006001;AL;0.0
Acqui Terme;COM;AL;118;6.02;19604;2020/04/18;006001;AL;0.15
Acqui Terme;COM;AL;109;5.56;19604;2020/04/19;006001;AL;-0.46
Acqui Terme;COM;AL;107;5.46;19604;2020/04/20;006001;AL;-0.1
Acqui Terme;COM;AL;109;5.56;19604;2020/04/21;006001;AL;0.1
Acqui Terme;COM;AL;110;5.61;19604;2020/04/22;006001;AL;0.05
Acqui Terme;COM;AL;104;5.31;19604;2020/04/23;006001;AL;-0.3
Acqui Terme;COM;AL;107;5.46;19604;2020/04/24;006001;AL;0.15
Acqui Terme;COM;AL;111;5.66;19604;2020/04/25;006001;AL;0.2
Acqui Terme;COM;AL;104;5.31;19604;2020/04/26;006001;AL;-0.35
Acqui Terme;COM;AL;110;5.61;19604;2020/04/27;006001;AL;0.3
Acqui Terme;COM;AL;111;5.66;19604;2020/04/28;006001;AL;0.05
Acqui Terme;COM;AL;110;5.61;19604;2020/04/29;006001;AL;-0.05
Acqui Terme;COM;AL;106;5.41;19604;2020/04/30;006001;AL;-0.2
Acqui Terme;COM;AL;108;5.51;19604;2020/05/01;006001;AL;0.1
Acqui Terme;COM;AL;118;6.02;19604;2020/05/02;006001;AL;0.51
Acqui Terme;COM;AL;121;6.17;19604;2020/05/03;006001;AL;0.15
Acqui Terme;COM;AL;120;6.12;19604;2020/05/05;006001;AL;-0.05
Acqui Terme;COM;AL;118;6.02;19604;2020/05/06;006001;AL;-0.1
Acqui Terme;COM;AL;118;6.02;19604;2020/05/07;006001;AL;0.0
Acqui Terme;COM;AL;125;6.38;19604;2020/05/08;006001;AL;0.36
Acqui Terme;COM;AL;117;5.97;19604;2020/05/09;006001;AL;-0.41
Acqui Terme;COM;AL;115;5.87;19604;2020/05/10;006001;AL;-0.1
Acqui Terme;COM;AL;112;5.71;19604;2020/05/11;006001;AL;-0.16
Acqui Terme;COM;AL;112;5.71;19604;2020/05/12;006001;AL;0.0
Acqui Terme;COM;AL;104;5.31;19604;2020/05/13;006001;AL;-0.4
Agliano Terme;COM;AT;0;0.0;1592;2020/03/25;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/03/26;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/03/27;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/03/28;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/03/29;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/03/30;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/03/31;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/01;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/02;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/03;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/04;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/05;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/05;005001;AT;1.26
Agliano Terme;COM;AT;0;0.0;1592;2020/04/06;005001;AT;-1.26
Agliano Terme;COM;AT;0;0.0;1592;2020/04/07;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/08;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/09;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/12;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/13;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/14;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/15;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/16;005001;AT;0.0
Agliano Terme;COM;AT;0;0.0;1592;2020/04/17;005001;AT;0.0
Agliano Terme;COM;AT;1;0.63;1592;2020/04/18;005001;AT;0.63
Agliano Terme;COM;AT;1;0.63;1592;2020/04/19;005001;AT;0.0
Agliano Terme;COM;AT;1;0.63;1592;2020/04/20;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/21;005001;AT;0.63
Agliano Terme;COM;AT;2;1.26;1592;2020/04/22;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/23;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/24;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/25;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/26;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/27;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/28;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/29;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/04/30;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/01;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/02;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/03;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/05;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/06;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/07;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/08;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/09;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/10;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/11;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/12;005001;AT;0.0
Agliano Terme;COM;AT;2;1.26;1592;2020/05/13;005001;AT;0.0
Agliè;COM;TO;4;1.52;2635;2020/03/25;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/03/26;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/03/27;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/03/28;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/03/29;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/03/30;001001;TO4;0.38
Agliè;COM;TO;5;1.9;2635;2020/03/31;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/01;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/02;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/03;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/04;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/05;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/04/05;001001;TO4;-0.38
Agliè;COM;TO;5;1.9;2635;2020/04/06;001001;TO4;0.38
Agliè;COM;TO;5;1.9;2635;2020/04/07;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/08;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/09;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/04/12;001001;TO4;-0.38
Agliè;COM;TO;4;1.52;2635;2020/04/13;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/04/14;001001;TO4;0.0
Agliè;COM;TO;6;2.28;2635;2020/04/16;001001;TO4;0.76
Agliè;COM;TO;6;2.28;2635;2020/04/17;001001;TO4;0.0
Agliè;COM;TO;6;2.28;2635;2020/04/18;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/19;001001;TO4;-0.38
Agliè;COM;TO;5;1.9;2635;2020/04/20;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/21;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/22;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/23;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/24;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/25;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/26;001001;TO4;0.0
Agliè;COM;TO;5;1.9;2635;2020/04/27;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/04/28;001001;TO4;-0.38
Agliè;COM;TO;4;1.52;2635;2020/04/29;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/04/30;001001;TO4;0.0
Agliè;COM;TO;4;1.52;2635;2020/05/01;001001;TO4;0.0
