Ente;Tipo;Provincia;Positivi;Positivi 1000 abitanti;Abitanti;Data;Codice ISTAT;ASL;Delta
AL;PROV;AL;940;2.24;419880;2020/03/25;006; ;0.0
AL;PROV;AL;975;2.32;419880;2020/03/26;006; ;0.08
AL;PROV;AL;1101;2.62;419880;2020/03/27;006; ;0.3
AL;PROV;AL;1192;2.84;419880;2020/03/28;006; ;0.22
AL;PROV;AL;1250;2.98;419880;2020/03/29;006; ;0.14
AL;PROV;AL;1275;3.04;419880;2020/03/30;006; ;0.06
AL;PROV;AL;1312;3.12;419880;2020/03/31;006; ;0.08
AL;PROV;AL;1373;3.27;419880;2020/04/01;006; ;0.15
AL;PROV;AL;1423;3.39;419880;2020/04/02;006; ;0.12
AL;PROV;AL;1467;3.49;419880;2020/04/03;006; ;0.1
AL;PROV;AL;1567;3.73;419880;2020/04/04;006; ;0.24
AL;PROV;AL;4109;9.79;419880;2020/04/05;006; ;6.06
AL;PROV;AL;1853;4.41;419880;2020/04/06;006; ;-5.38
AL;PROV;AL;1892;4.51;419880;2020/04/07;006; ;0.1
AL;PROV;AL;1956;4.66;419880;2020/04/08;006; ;0.15
AL;PROV;AL;2020;4.81;419880;2020/04/09;006; ;0.15
AL;PROV;AL;1817;4.33;419880;2020/04/12;006; ;-0.48
AL;PROV;AL;1856;4.42;419880;2020/04/13;006; ;0.09
AL;PROV;AL;1938;4.62;419880;2020/04/14;006; ;0.2
AL;PROV;AL;1959;4.67;419880;2020/04/15;006; ;0.05
AL;PROV;AL;2040;4.86;419880;2020/04/16;006; ;0.19
AL;PROV;AL;2102;5.01;419880;2020/04/17;006; ;0.15
AL;PROV;AL;2164;5.15;419880;2020/04/18;006; ;0.14
AL;PROV;AL;2151;5.12;419880;2020/04/19;006; ;-0.03
AL;PROV;AL;2111;5.03;419880;2020/04/20;006; ;-0.09
AL;PROV;AL;2166;5.16;419880;2020/04/21;006; ;0.13
AL;PROV;AL;2227;5.3;419880;2020/04/22;006; ;0.14
AL;PROV;AL;2165;5.16;419880;2020/04/23;006; ;-0.14
AL;PROV;AL;2195;5.23;419880;2020/04/24;006; ;0.07
AL;PROV;AL;2241;5.34;419880;2020/04/25;006; ;0.11
AL;PROV;AL;2137;5.09;419880;2020/04/26;006; ;-0.25
AL;PROV;AL;2181;5.19;419880;2020/04/27;006; ;0.1
AL;PROV;AL;2240;5.33;419880;2020/04/28;006; ;0.14
AL;PROV;AL;2198;5.23;419880;2020/04/29;006; ;-0.1
AL;PROV;AL;2228;5.31;419880;2020/04/30;006; ;0.08
AL;PROV;AL;2293;5.46;419880;2020/05/01;006; ;0.15
AL;PROV;AL;2363;5.63;419880;2020/05/02;006; ;0.17
AL;PROV;AL;2381;5.67;419880;2020/05/03;006; ;0.04
AL;PROV;AL;2351;5.6;419880;2020/05/05;006; ;-0.07
AL;PROV;AL;2314;5.51;419880;2020/05/06;006; ;-0.09
AL;PROV;AL;2323;5.53;419880;2020/05/07;006; ;0.02
AL;PROV;AL;2337;5.57;419880;2020/05/08;006; ;0.04
AL;PROV;AL;2264;5.39;419880;2020/05/09;006; ;-0.18
AL;PROV;AL;2244;5.34;419880;2020/05/10;006; ;-0.05
AL;PROV;AL;2215;5.28;419880;2020/05/11;006; ;-0.06
AL;PROV;AL;2209;5.26;419880;2020/05/12;006; ;-0.02
AL;PROV;AL;2140;5.1;419880;2020/05/13;006; ;-0.16
AT;PROV;AT;261;1.22;214638;2020/03/25;005; ;0.0
AT;PROV;AT;282;1.31;214638;2020/03/26;005; ;0.09
AT;PROV;AT;303;1.41;214638;2020/03/27;005; ;0.1
AT;PROV;AT;318;1.48;214638;2020/03/28;005; ;0.07
AT;PROV;AT;328;1.53;214638;2020/03/29;005; ;0.05
AT;PROV;AT;402;1.87;214638;2020/03/30;005; ;0.34
AT;PROV;AT;434;2.02;214638;2020/03/31;005; ;0.15
AT;PROV;AT;461;2.15;214638;2020/04/01;005; ;0.13
AT;PROV;AT;501;2.33;214638;2020/04/02;005; ;0.18
AT;PROV;AT;510;2.38;214638;2020/04/03;005; ;0.05
AT;PROV;AT;546;2.54;214638;2020/04/04;005; ;0.16
AT;PROV;AT;1724;8.03;214638;2020/04/05;005; ;5.49
AT;PROV;AT;596;2.78;214638;2020/04/06;005; ;-5.25
AT;PROV;AT;617;2.87;214638;2020/04/07;005; ;0.09
AT;PROV;AT;632;2.94;214638;2020/04/08;005; ;0.07
AT;PROV;AT;643;3.0;214638;2020/04/09;005; ;0.06
AT;PROV;AT;649;3.02;214638;2020/04/12;005; ;0.02
AT;PROV;AT;664;3.09;214638;2020/04/13;005; ;0.07
AT;PROV;AT;734;3.42;214638;2020/04/14;005; ;0.33
AT;PROV;AT;753;3.51;214638;2020/04/15;005; ;0.09
AT;PROV;AT;789;3.68;214638;2020/04/16;005; ;0.17
AT;PROV;AT;794;3.7;214638;2020/04/17;005; ;0.02
AT;PROV;AT;830;3.87;214638;2020/04/18;005; ;0.17
AT;PROV;AT;866;4.03;214638;2020/04/19;005; ;0.16
AT;PROV;AT;925;4.31;214638;2020/04/20;005; ;0.28
AT;PROV;AT;996;4.64;214638;2020/04/21;005; ;0.33
AT;PROV;AT;1031;4.8;214638;2020/04/22;005; ;0.16
AT;PROV;AT;1016;4.73;214638;2020/04/23;005; ;-0.07
AT;PROV;AT;1057;4.92;214638;2020/04/24;005; ;0.19
