Ente;Tipo;Provincia;Positivi;Positivi 1000 abitanti;Abitanti;Data;Codice ISTAT;ASL;Delta
Piemonte;REG;Piemonte;5842;1.35;4334074;2020/03/25;01; ;0.0
Piemonte;REG;Piemonte;6344;1.46;4334074;2020/03/26;01; ;0.11
Piemonte;REG;Piemonte;6891;1.59;4334074;2020/03/27;01; ;0.13
Piemonte;REG;Piemonte;7470;1.72;4334074;2020/03/28;01; ;0.13
Piemonte;REG;Piemonte;7984;1.84;4334074;2020/03/29;01; ;0.12
Piemonte;REG;Piemonte;8477;1.96;4334074;2020/03/30;01; ;0.12
Piemonte;REG;Piemonte;9053;2.09;4334074;2020/03/31;01; ;0.13
Piemonte;REG;Piemonte;9545;2.2;4334074;2020/04/01;01; ;0.11
Piemonte;REG;Piemonte;10092;2.33;4334074;2020/04/02;01; ;0.13
Piemonte;REG;Piemonte;10498;2.42;4334074;2020/04/03;01; ;0.09
Piemonte;REG;Piemonte;11281;2.6;4334074;2020/04/04;01; ;0.18
Piemonte;REG;Piemonte;30638;7.07;4334074;2020/04/05;01; ;4.47
Piemonte;REG;Piemonte;12415;2.86;4334074;2020/04/06;01; ;-4.21
Piemonte;REG;Piemonte;12811;2.96;4334074;2020/04/07;01; ;0.1
Piemonte;REG;Piemonte;13326;3.07;4334074;2020/04/08;01; ;0.11
Piemonte;REG;Piemonte;13953;3.22;4334074;2020/04/09;01; ;0.15
Piemonte;REG;Piemonte;13886;3.2;4334074;2020/04/12;01; ;-0.02
Piemonte;REG;Piemonte;14300;3.3;4334074;2020/04/13;01; ;0.1
Piemonte;REG;Piemonte;14684;3.39;4334074;2020/04/14;01; ;0.09
Piemonte;REG;Piemonte;14789;3.41;4334074;2020/04/15;01; ;0.02
Piemonte;REG;Piemonte;15506;3.58;4334074;2020/04/16;01; ;0.17
Piemonte;REG;Piemonte;15794;3.64;4334074;2020/04/17;01; ;0.06
Piemonte;REG;Piemonte;16215;3.74;4334074;2020/04/18;01; ;0.1
Piemonte;REG;Piemonte;16628;3.84;4334074;2020/04/19;01; ;0.1
Piemonte;REG;Piemonte;16766;3.87;4334074;2020/04/20;01; ;0.03
Piemonte;REG;Piemonte;17075;3.94;4334074;2020/04/21;01; ;0.07
Piemonte;REG;Piemonte;17524;4.04;4334074;2020/04/22;01; ;0.1
Piemonte;REG;Piemonte;17574;4.05;4334074;2020/04/23;01; ;0.01
Piemonte;REG;Piemonte;17849;4.12;4334074;2020/04/24;01; ;0.07
Piemonte;REG;Piemonte;18117;4.18;4334074;2020/04/25;01; ;0.06
Piemonte;REG;Piemonte;18170;4.19;4334074;2020/04/26;01; ;0.01
Piemonte;REG;Piemonte;18226;4.21;4334074;2020/04/27;01; ;0.02
Piemonte;REG;Piemonte;18451;4.26;4334074;2020/04/28;01; ;0.05
Piemonte;REG;Piemonte;18460;4.26;4334074;2020/04/29;01; ;0.0
Piemonte;REG;Piemonte;18499;4.27;4334074;2020/04/30;01; ;0.01
Piemonte;REG;Piemonte;18533;4.28;4334074;2020/05/01;01; ;0.01
Piemonte;REG;Piemonte;18790;4.34;4334074;2020/05/02;01; ;0.06
Piemonte;REG;Piemonte;18821;4.34;4334074;2020/05/03;01; ;0.0
Piemonte;REG;Piemonte;18529;4.28;4334074;2020/05/05;01; ;-0.06
Piemonte;REG;Piemonte;17992;4.15;4334074;2020/05/06;01; ;-0.13
Piemonte;REG;Piemonte;17738;4.09;4334074;2020/05/07;01; ;-0.06
Piemonte;REG;Piemonte;17408;4.02;4334074;2020/05/08;01; ;-0.07
Piemonte;REG;Piemonte;17130;3.95;4334074;2020/05/09;01; ;-0.07
Piemonte;REG;Piemonte;16858;3.89;4334074;2020/05/10;01; ;-0.06
Piemonte;REG;Piemonte;16572;3.82;4334074;2020/05/11;01; ;-0.07
Piemonte;REG;Piemonte;16430;3.79;4334074;2020/05/12;01; ;-0.03
Piemonte;REG;Piemonte;16042;3.7;4334074;2020/05/13;01; ;-0.09
